Customer ID,Customer Name,Segment,Region
CG-12520,Claire Gute,Consumer,South
CG-12520,Claire Gute,Consumer,South
DV-13045,Darrin Van Huff,Corporate,West
SO-20335,Sean O'Donnell,Consumer,South
SO-20335,Sean O'Donnell,Consumer,South
BH-11710,Brosina Hoffman,Consumer,West
BH-11710,Brosina Hoffman,Consumer,West
BH-11710,Brosina Hoffman,Consumer,West
BH-11710,Brosina Hoffman,Consumer,West
BH-11710,Brosina Hoffman,Consumer,West
BH-11710,Brosina Hoffman,Consumer,West
BH-11710,Brosina Hoffman,Consumer,West
AA-10480,Andrew Allen,Consumer,South
IM-15070,Irene Maddox,Consumer,West
HP-14815,Harold Pawlan,Home Office,Central
HP-14815,Harold Pawlan,Home Office,Central
PK-19075,Pete Kriz,Consumer,Central
AG-10270,Alejandro Grove,Consumer,West
ZD-21925,Zuschuss Donatelli,Consumer,West
ZD-21925,Zuschuss Donatelli,Consumer,West
ZD-21925,Zuschuss Donatelli,Consumer,West
KB-16585,Ken Black,Corporate,Central
KB-16585,Ken Black,Corporate,Central
SF-20065,Sandra Flanagan,Consumer,East
EB-13870,Emily Burns,Consumer,West
EH-13945,Eric Hoffmann,Consumer,West
EH-13945,Eric Hoffmann,Consumer,West
TB-21520,Tracy Blumstein,Consumer,East
TB-21520,Tracy Blumstein,Consumer,East
TB-21520,Tracy Blumstein,Consumer,East
TB-21520,Tracy Blumstein,Consumer,East
TB-21520,Tracy Blumstein,Consumer,East
TB-21520,Tracy Blumstein,Consumer,East
TB-21520,Tracy Blumstein,Consumer,East
MA-17560,Matt Abelman,Home Office,Central
GH-14485,Gene Hale,Corporate,Central
GH-14485,Gene Hale,Corporate,Central
SN-20710,Steve Nguyen,Home Office,Central
SN-20710,Steve Nguyen,Home Office,Central
SN-20710,Steve Nguyen,Home Office,Central
SN-20710,Steve Nguyen,Home Office,Central
LC-16930,Linda Cazamias,Corporate,Central
RA-19885,Ruben Ausman,Corporate,West
ES-14080,Erin Smith,Corporate,South
ON-18715,Odella Nelson,Corporate,Central
ON-18715,Odella Nelson,Corporate,Central
PO-18865,Patrick O'Donnell,Consumer,Central
LH-16900,Lena Hernandez,Consumer,East
LH-16900,Lena Hernandez,Consumer,East
DP-13000,Darren Powers,Consumer,Central
DP-13000,Darren Powers,Consumer,Central
DP-13000,Darren Powers,Consumer,Central
DP-13000,Darren Powers,Consumer,Central
JM-15265,Janet Molinari,Corporate,East
JM-15265,Janet Molinari,Corporate,East
TB-21055,Ted Butterfield,Consumer,East
TB-21055,Ted Butterfield,Consumer,East
TB-21055,Ted Butterfield,Consumer,East
TB-21055,Ted Butterfield,Consumer,East
TB-21055,Ted Butterfield,Consumer,East
TB-21055,Ted Butterfield,Consumer,East
TB-21055,Ted Butterfield,Consumer,East
KM-16720,Kunst Miller,Consumer,West
KM-16720,Kunst Miller,Consumer,West
KM-16720,Kunst Miller,Consumer,West
KM-16720,Kunst Miller,Consumer,West
PS-18970,Paul Stevenson,Home Office,Central
BS-11590,Brendan Sweed,Corporate,West
BS-11590,Brendan Sweed,Corporate,West
KD-16270,Karen Daniels,Consumer,South
HM-14980,Henry MacAllister,Consumer,East
TB-21520,Tracy Blumstein,Consumer,Central
JE-15745,Joel Eaton,Consumer,South
JE-15745,Joel Eaton,Consumer,South
JE-15745,Joel Eaton,Consumer,South
KB-16600,Ken Brennan,Corporate,Central
KB-16600,Ken Brennan,Corporate,Central
KB-16600,Ken Brennan,Corporate,Central
JE-15745,Joel Eaton,Consumer,Central
SC-20770,Stewart Carmichael,Corporate,South
SC-20770,Stewart Carmichael,Corporate,South
DN-13690,Duane Noonan,Consumer,West
DN-13690,Duane Noonan,Consumer,West
JC-16105,Julie Creighton,Corporate,South
CS-12400,Christopher Schild,Home Office,Central
PO-18865,Patrick O'Donnell,Consumer,South
PG-18895,Paul Gonzalez,Consumer,Central
PG-18895,Paul Gonzalez,Consumer,Central
GM-14455,Gary Mitchum,Home Office,Central
JS-15685,Jim Sink,Corporate,West
JS-15685,Jim Sink,Corporate,West
